2024-07-13 00:51:21,794 - INFO - Conexão realizada!
2024-07-13 00:51:21,795 - ERROR - Falha ao criar a tabela devido: 1050 (42S01): Table 'countries_by_gdp' already exists
2024-07-13 00:51:21,877 - INFO - Dados importados com sucesso!
2024-07-13 00:51:21,877 - INFO - ('Switzerland', Decimal('869.60'))
2024-07-13 00:51:21,877 - INFO - ('Taiwan', Decimal('790.73'))
2024-07-13 00:51:21,877 - INFO - ('Poland', Decimal('748.89'))
2024-07-13 00:51:21,877 - INFO - ('Argentina', Decimal('641.10'))
2024-07-13 00:51:21,877 - INFO - ('Belgium', Decimal('624.25'))
2024-07-13 00:51:21,877 - INFO - ('Sweden', Decimal('599.05'))
2024-07-13 00:51:21,877 - INFO - ('Ireland', Decimal('594.10'))
2024-07-13 00:51:21,877 - INFO - ('Thailand', Decimal('574.23'))
2024-07-13 00:51:21,877 - INFO - ('Norway', Decimal('554.11'))
2024-07-13 00:51:21,877 - INFO - ('Israel', Decimal('539.22'))
2024-07-13 00:51:21,877 - INFO - ('Singapore', Decimal('515.55'))
2024-07-13 00:51:21,877 - INFO - ('Austria', Decimal('515.20'))
2024-07-13 00:51:21,877 - INFO - ('Nigeria', Decimal('506.60'))
2024-07-13 00:51:21,877 - INFO - ('United Arab Emirates', Decimal('498.98'))
2024-07-13 00:51:21,877 - INFO - ('Vietnam', Decimal('449.09'))
2024-07-13 00:51:21,877 - INFO - ('Malaysia', Decimal('447.03'))
2024-07-13 00:51:21,877 - INFO - ('Philippines', Decimal('440.90'))
2024-07-13 00:51:21,877 - INFO - ('Bangladesh', Decimal('420.52'))
2024-07-13 00:51:21,877 - INFO - ('Denmark', Decimal('405.63'))
2024-07-13 00:51:21,877 - INFO - ('South Africa', Decimal('399.01'))
2024-07-13 00:51:21,877 - INFO - ('Hong Kong', Decimal('382.85'))
2024-07-13 00:51:21,877 - INFO - ('Egypt', Decimal('378.11'))
2024-07-13 00:51:21,877 - INFO - ('Iran', Decimal('367.97'))
2024-07-13 00:51:21,877 - INFO - ('Chile', Decimal('358.56'))
2024-07-13 00:51:21,877 - INFO - ('Romania', Decimal('348.90'))
2024-07-13 00:51:21,877 - INFO - ('Colombia', Decimal('334.69'))
2024-07-13 00:51:21,877 - INFO - ('Czech Republic', Decimal('330.48'))
2024-07-13 00:51:21,877 - INFO - ('Finland', Decimal('301.67'))
2024-07-13 00:51:21,877 - INFO - ('Peru', Decimal('268.24'))
2024-07-13 00:51:21,877 - INFO - ('Iraq', Decimal('267.89'))
2024-07-13 00:51:21,877 - INFO - ('Portugal', Decimal('267.72'))
2024-07-13 00:51:21,877 - INFO - ('New Zealand', Decimal('251.97'))
2024-07-13 00:51:21,877 - INFO - ('Kazakhstan', Decimal('245.69'))
2024-07-13 00:51:21,877 - INFO - ('Greece', Decimal('239.30'))
2024-07-13 00:51:21,877 - INFO - ('Qatar', Decimal('219.57'))
